health_region_code,band,person_years,deaths
22008,14,9966,3
22008,15,7578,3
22008,16,9006,2
22009,0,43288,0
22009,1,45395,0
22009,2,48663,2
22009,3,54546,2
22009,4,55998,14
22009,5,55025,15
22009,6,55409,6
22009,7,56011,18
22009,8,55353,10
22009,9,50390,16
22009,10,46103,8
22009,11,44209,5
22009,12,36168,6
22009,13,26931,7
22009,14,22239,2
22009,15,16823,8
22009,16,18892,3
22010,0,17635,0
22010,1,19658,0
22010,2,21784,1
22010,3,24197,3
22010,4,22316,3
22010,5,19962,6
22010,6,20045,5
22010,7,23237,3
22010,8,23930,5
22010,9,21884,7
22010,10,19666,2
22010,11,19026,1
22010,12,16662,1
22010,13,13375,5
22010,14,11383,1
22010,15,8429,2
22010,16,11053,1
22011,0,39722,0
22011,1,41980,0
22011,2,45529,1
22011,3,50146,1
22011,4,47905,6
22011,5,45182,10
22011,6,44800,8
22011,7,48434,7
22011,8,47436,7
22011,9,41958,7
22011,10,37159,6
22011,11,35162,7
22011,12,30286,8
22011,13,24621,6
22011,14,19637,0
22011,15,14891,2
22011,16,18693,6
22012,0,26005,0
22012,1,27216,0
22012,2,28930,0
22012,3,32162,3
22012,4,31290,10
22012,5,29030,5
22012,6,29100,13
22012,7,29186,4
22012,8,29056,4
22012,9,26097,5
22012,10,22343,2
22012,11,20403,4
22012,12,16860,6
22012,13,12941,2
22012,14,10777,3
22012,15,8657,2
22012,16,9826,1
23001,0,906208,0
23001,1,994496,0
23001,2,986761,10
23001,3,1035702,51
23001,4,1128883,73
23001,5,1224284,119
23001,6,1221778,93
23001,7,1201679,132
23001,8,1113566,108
23001,9,947529,91
23001,10,851022,78
23001,11,776378,65
23001,12,627846,44
23001,13,465893,41
23001,14,352059,41
23001,15,247290,13
23001,16,296889,17
23011,0,364071,0
23011,1,376151,0
23011,2,378506,4
23011,3,406201,35
23011,4,420215,53
23011,5,425716,68
23011,6,411008,38
23011,7,394846,70
23011,8,363343,50
23011,9,316025,43
23011,10,278075,34
23011,11,257418,41
23011,12,210287,32
23011,13,161978,12
23011,14,135357,14
23011,15,100663,17
23011,16,125535,12
23023,0,301860,0
23023,1,317042,0
23023,2,326248,9
23023,3,346126,22
23023,4,358593,39
23023,5,359451,49
23023,6,354348,48
23023,7,347698,49
23023,8,327143,52
23023,9,285427,42
23023,10,250249,46
23023,11,230772,37
23023,12,196065,27
23023,13,154945,30
23023,14,128986,22
23023,15,99863,22
23023,16,128361,13
23024,0,131583,0
23024,1,135103,0
23024,2,138238,5
23024,3,150426,15
23024,4,152952,17
23024,5,156195,28
23024,6,147425,9
23024,7,138125,25
23024,8,128895,24
23024,9,116368,23
23024,10,109113,16
23024,11,104565,22
23024,12,87714,8
23024,13,69145,10
23024,14,57877,7
23024,15,43384,10
23024,16,58147,6
23025,0,100832,0
23025,1,109149,0
23025,2,110668,1
23025,3,117019,5
23025,4,123023,6
23025,5,129768,22
23025,6,131949,15
23025,7,132116,15
23025,8,123312,22
23025,9,111174,9
23025,10,100827,15
23025,11,93887,20
23025,12,77875,12
23025,13,60411,10
23025,14,49782,7
23025,15,36651,4
23025,16,42750,7
24001,0,83511,0
24001,1,88745,0
24001,2,90286,2
24001,3,94511,5
24001,4,94407,9
24001,5,94581,4
24001,6,93660,9
24001,7,92999,8
24001,8,85141,6
24001,9,74557,5
24001,10,66176,5
